year,month,chirps_mm,mei_v2,spei3
2001,1,30.0799,-0.84,
2001,2,13.7757,-0.86,
2001,3,124.5981,-0.78,0.7177
2001,4,55.7361,-0.55,0.3401
2001,5,222.887,-0.52,0.3915
2001,6,192.6319,-0.73,0.1569
2001,7,178.7915,0.03,0.2712
2001,8,236.0318,0.38,0.1928
2001,9,234.1504,-0.06,0.2389
2001,10,180.6364,-0.23,0.3502
2001,11,44.9469,-0.28,0.1643
2001,12,29.7094,0.06,0.308
2002,1,7.6384,0.09,-0.011
2002,2,11.9175,-0.26,0.1868
2002,3,49.3581,-0.2,-0.0174
2002,4,71.719,-0.36,-0.4098
2002,5,221.8091,-0.14,0.2029
2002,6,163.6298,0.34,0.254
2002,7,177.793,0.43,0.2431
2002,8,271.9568,1.01,0.2269
2002,9,321.4653,0.88,0.4167
2002,10,147.2051,0.84,0.4194
2002,11,99.2486,0.84,0.4274
2002,12,56.778,0.91,0.5261
2003,1,10.5674,0.82,0.8241
2003,2,20.0545,0.63,0.6121
2003,3,97.6661,0.53,0.5013
2003,4,57.7059,-0.11,0.3029
2003,5,167.445,-0.61,0.0388
2003,6,212.6775,-0.1,0.0587
2003,7,232.2697,0.01,0.0216
2003,8,236.1721,0.05,-0.1807
2003,9,316.3784,0.18,-0.067
2003,10,146.1344,0.28,-0.512
2003,11,46.4223,0.3,-0.2586
2003,12,33.9777,0.14,-4.7534
2004,1,11.1519,0.19,-1.0741
2004,2,28.315,-0.04,-0.3884
2004,3,27.3832,-0.43,-1.0632
2004,4,72.7189,-0.23,-0.5178
2004,5,247.6781,-0.46,0.1421
2004,6,229.8012,-0.38,0.363
2004,7,280.3898,0.46,0.3848
2004,8,212.2256,0.76,0.1034
2004,9,272.4871,0.58,0.1601
2004,10,77.6196,0.4,-0.4545
2004,11,38.782,0.56,0.0408
2004,12,16.531,0.48,-0.732
2005,1,9.0026,0.09,-0.0409
2005,2,9.0252,0.61,-4.7534
2005,3,38.6823,0.83,-0.1047
2005,4,89.2644,0.14,0.0447
2005,5,185.6781,0.19,-0.0848
2005,6,214.0416,0.21,0.156
2005,7,258.8611,-0.0,0.1914
2005,8,231.9162,0.02,0.2884
2005,9,367.5159,-0.02,0.5747
2005,10,138.6981,-0.66,0.4778
2005,11,115.1422,-0.7,0.4942
2005,12,85.1788,-0.7,0.1984
2006,1,11.9539,-0.64,0.3798
2006,2,27.5012,-0.49,0.3088
2006,3,78.667,-0.62,-0.0008
2006,4,140.5681,-0.84,0.4273
2006,5,232.592,-0.42,0.4587
2006,6,206.9716,-0.17,0.4687
2006,7,268.1382,0.22,0.4394
2006,8,283.3631,0.59,0.4577
2006,9,274.1028,0.65,0.5169
2006,10,183.7788,0.77,0.2878
2006,11,33.9505,1.0,-0.1873
2006,12,23.6452,0.64,-0.4173
2007,1,18.3238,0.64,-4.7534
2007,2,13.447,0.4,-0.8748
2007,3,45.1794,-0.19,-4.7534
2007,4,105.2625,-0.32,-0.178
2007,5,307.353,-0.41,0.4584
2007,6,202.7961,-0.83,0.4856
2007,7,223.1343,-0.76,0.3721
2007,8,259.1336,-0.91,-0.147
2007,9,297.6703,-1.06,-0.3717
2007,10,224.7157,-1.13,-0.2416
2007,11,56.8226,-1.12,0.0191
2007,12,27.7319,-1.19,-0.0034
2008,1,16.7227,-1.07,0.1348
2008,2,28.0392,-1.27,0.2236
2008,3,51.3951,-1.52,0.3281
2008,4,138.6002,-1.1,0.4068
2008,5,246.4853,-0.99,0.2599
2008,6,221.1399,-0.79,0.309
2008,7,237.9384,-0.78,0.1937
2008,8,240.3674,-1.01,-0.04
2008,9,322.3209,-1.02,-0.3539
2008,10,205.9321,-1.09,-0.0279
2008,11,123.4177,-0.98,0.1923
2008,12,38.6972,-1.01,0.3931
2009,1,13.6061,-1.01,0.2716
2009,2,13.871,-0.85,-0.219
2009,3,101.9279,-0.95,-0.1227
2009,4,128.0243,-0.81,0.148
2009,5,248.2356,-0.72,0.234
2009,6,194.856,-0.05,0.2998
2009,7,252.387,0.56,0.2145
2009,8,225.2851,0.56,-0.0274
2009,9,274.2208,0.42,-0.466
