year,lc01_burned_km2,lc02_burned_km2,lc03_burned_km2,lc04_burned_km2,lc05_burned_km2,lc06_burned_km2,lc07_burned_km2,lc08_burned_km2,lc09_burned_km2,lc10_burned_km2,lc11_burned_km2,lc12_burned_km2,lc13_burned_km2,lc14_burned_km2,lc15_burned_km2,lc16_burned_km2,lc17_burned_km2
2001,0.0,259.0482,0,322.1125,187.3194,4.5231,2.4092,996.1387,1792.7234,669.4292,8.7515,7882.8717,25.933,740.3118,0,0.216,0.7939
2002,0.2459,748.9086,0,856.8167,337.7128,0.4794,0.7157,1268.5875,2080.2112,479.4961,15.1622,4865.8763,16.7781,380.7651,0,0.0,1.4444
2003,0.0,487.1971,0,1465.4563,603.6899,0.0,0.239,1601.8732,2241.9243,756.1184,9.793,6807.2336,29.2604,362.5531,0,0.7825,0.9985
2004,0.0,3075.2839,0,2525.2435,1319.2239,0.2383,2.1512,3710.9809,2984.1061,1018.3257,11.987,8660.2027,22.705,390.6727,0,1.119,2.1175
2005,0.0,1275.6251,0,2464.0249,709.7446,0.949,0.9552,2179.5106,3073.9557,1127.4965,8.479,9932.3029,27.7772,273.0382,0,0.7527,0.7231
2006,0.0,551.0198,0,1652.9379,322.6407,0.0,0.4783,1380.4769,1576.6722,755.2157,1.8153,4454.6262,10.555,165.7252,0,0.7473,0.8919
2007,0.0,2203.2596,0,4385.3415,1116.9026,0.7088,0.4807,3821.2965,3219.6421,1010.6113,16.1351,5746.759,25.6199,434.1773,0,0.8733,0.7271
2008,0.0,881.7009,0,1899.943,471.0904,0.2373,0.4758,1831.8574,1691.794,630.2105,2.8735,3555.1444,15.1153,159.8381,0,0.0,0.232
2009,0.0,1285.6,0,3129.4568,474.2535,0.4785,0.7152,2166.3139,2028.89,637.7894,1.9189,3933.1888,20.5966,211.7429,0,0.238,0.2408
2010,0.0,1225.3278,0,2180.7273,345.3925,3.0709,0.7204,2570.8884,2298.3452,746.0463,10.9794,3821.0074,15.5769,263.384,0,0.4566,0.7698
2011,0.0,179.9101,0,1636.5909,105.1699,0.0,2.6332,636.5168,973.4158,358.1061,3.9181,3764.5723,16.7879,131.568,0,0.6832,0.2418
2012,0.0,1140.215,0,2853.2946,672.2542,0.0,1.436,3125.7644,1859.5879,652.6654,11.1985,6205.825,26.8606,210.901,0,0.0,1.1987
2013,0.0,649.873,0,1568.5326,200.1383,1.4187,1.9083,1593.0595,1421.8787,740.1196,13.5717,5645.7503,27.3386,165.9345,0,0.477,1.2097
2014,0.0,1217.7719,0,3911.4814,848.186,0.0,1.4351,2835.8743,1434.5497,603.8326,10.3087,4374.7648,11.9913,123.1901,0,0.0,0.6603
2015,0.0,828.4697,0,3180.5865,741.6205,0.4744,0.9526,2505.1864,1121.5376,480.0646,4.8912,4966.6446,13.63,69.4362,0,0.0,0.3405
2016,0.0,2329.2643,0,2139.4527,317.527,0.0,0.954,3189.1379,1101.2048,486.1781,6.9829,4078.2136,12.1865,80.2444,0,0.0046,0.9659
2017,0.0,381.3063,0,4265.5112,516.9089,0.0,0.7158,1392.831,1374.1338,413.9149,9.0515,4181.1429,15.3213,71.8229,0,0.2386,0.2654
2018,0.0,264.9987,0,2051.2882,184.0361,0.7178,0.478,777.3249,731.1063,305.3733,6.8841,4418.225,11.9503,49.9162,0,0.0,0.9632
2019,0.0,1311.0903,0,5199.6402,615.5926,0.7141,0.7172,2199.7843,1669.947,456.8269,12.1028,6222.8412,22.8747,80.693,0,0.2402,1.4471
2020,0.0,2978.1826,0,3958.6957,765.88,0.0,0.716,2383.1058,1089.1056,525.2079,3.1535,5040.5688,17.4121,80.3599,0,0.0,0.4786
2021,0.0,390.0875,0,4271.2537,276.7133,0.0,0.2391,997.7441,816.4608,298.4165,12.0553,1751.0604,8.5713,33.9968,0,0.0,0.718
2022,0.0,75.7719,0,554.581,10.8535,0.0,0.0,226.8076,296.8951,161.5412,1.6836,1521.401,2.876,16.1639,0,0.0602,0.0
2023,0.0,1290.716,0,3482.27,164.4924,0.2362,0.4784,2049.6715,1113.4737,447.3589,13.0484,2342.8959,15.289,48.9426,0,0.0,0.7244
