year,month,burned_area_km2
2001,1,5818.9004
2001,2,4279.7796
2001,3,1476.1755
2001,4,431.7169
2001,5,0.4697
2001,6,0.0
2001,7,0.0
2001,8,0.0
2001,9,0.0
2001,10,3.3551
2001,11,105.6657
2001,12,966.2427
2002,1,3608.3179
2002,2,2237.4189
2002,3,3595.7985
2002,4,1027.5856
2002,5,10.6818
2002,6,1.2289
2002,7,85.8921
2002,8,74.2887
2002,9,0.0
2002,10,18.1568
2002,11,78.1284
2002,12,435.869
2003,1,2833.4956
2003,2,3177.8906
2003,3,4138.2023
2003,4,1861.3426
2003,5,125.5341
2003,6,69.9327
2003,7,169.5322
2003,8,1.1688
2003,9,17.9334
2003,10,92.4665
2003,11,636.4295
2003,12,1693.0176
2004,1,5508.9726
2004,2,5145.381
2004,3,8771.9406
2004,4,1133.7559
2004,5,59.041
2004,6,128.5516
2004,7,74.4837
2004,8,7.2119
2004,9,41.6882
2004,10,158.5379
2004,11,920.9022
2004,12,2464.5399
2005,1,6953.9477
2005,2,7201.2464
2005,3,4590.4102
2005,4,1728.4862
2005,5,49.6875
2005,6,48.8151
2005,7,2.2136
2005,8,11.5604
2005,9,0.0
2005,10,16.001
2005,11,215.6938
2005,12,396.2203
2006,1,1218.9642
2006,2,4269.3882
2006,3,3367.8992
2006,4,1122.1735
2006,5,22.9468
2006,6,0.0
2006,7,0.0
2006,8,0.4
2006,9,0.0
2006,10,50.8813
2006,11,516.2412
2006,12,447.2368
2007,1,3576.9814
2007,2,6562.2012
2007,3,9640.142
2007,4,1365.3711
2007,5,143.307
2007,6,35.0811
2007,7,12.9057
2007,8,152.145
2007,9,0.0
2007,10,23.4578
2007,11,269.9592
2007,12,401.405
2008,1,1498.624
2008,2,2273.8359
2008,3,6074.5417
2008,4,972.8172
2008,5,5.6854
2008,6,0.0
2008,7,0.0
2008,8,101.7987
2008,9,0.0
2008,10,0.0
2008,11,134.297
2008,12,243.8212
2009,1,1161.831
2009,2,5047.0071
2009,3,4700.1068
2009,4,2136.9458
2009,5,33.3124
2009,6,172.6449
2009,7,42.083
2009,8,123.2928
2009,9,15.351
2009,10,21.2339
2009,11,324.7103
2009,12,346.4152
2010,1,1139.0651
2010,2,3461.1355
2010,3,6498.7154
2010,4,1579.7445
2010,5,119.2453
2010,6,73.9114
2010,7,41.9411
2010,8,0.0
2010,9,0.0
2010,10,8.3277
2010,11,336.1244
2010,12,342.511
2011,1,858.9417
2011,2,2988.6837
2011,3,1713.3159
2011,4,1235.8909
2011,5,166.8098
2011,6,0.0
2011,7,0.0
2011,8,0.4428
2011,9,0.0
2011,10,27.6472
2011,11,381.0829
2011,12,551.3066
2012,1,2096.443
2012,2,3540.3182
2012,3,8793.9607
2012,4,1494.3906
2012,5,124.7219
2012,6,7.382
2012,7,3.442
2012,8,91.0998
2012,9,12.2082
2012,10,40.7957
2012,11,195.177
2012,12,509.2287
2013,1,1907.9081
2013,2,2961.0535
2013,3,3882.0407
2013,4,2217.1533
2013,5,71.6843
2013,6,0.0
2013,7,0.0
2013,8,0.0
2013,9,21.8227
2013,10,215.4008
2013,11,475.5781
2013,12,444.8716
2014,1,1054.6495
2014,2,4147.7605
2014,3,7191.9113
2014,4,1660.7603
2014,5,79.1196
2014,6,28.4069
2014,7,0.2466
2014,8,97.511
2014,9,39.0299
2014,10,69.035
2014,11,444.6797
2014,12,741.4259
2015,1,2233.3483
2015,2,3997.557
2015,3,5475.8236
2015,4,1006.1429
2015,5,141.3458
2015,6,3.3294
2015,7,0.0
2015,8,174.7708
2015,9,53.0505
2015,10,20.0947
2015,11,376.5249
2015,12,591.7043
2016,1,2092.3261
2016,2,3117.7251
2016,3,3192.159
2016,4,3998.6936
2016,5,393.9163
2016,6,0.4863
2016,7,0.0
2016,8,8.8556
2016,9,9.2887
2016,10,74.137
2016,11,672.3753
2016,12,273.2268
2017,1,1565.841
2017,2,3386.4975
2017,3,5738.0966
2017,4,865.8689
2017,5,18.1758
2017,6,0.0
2017,7,0.0
2017,8,147.3621
2017,9,112.4554
2017,10,32.5499
2017,11,475.1407
2017,12,573.2553
2018,1,997.4068
2018,2,1603.1672
2018,3,3232.0155
2018,4,1495.5349
2018,5,57.9172
2018,6,0.0
2018,7,0.0
2018,8,0.0
2018,9,19.6682
2018,10,32.6965
2018,11,844.1412
2018,12,658.4241
2019,1,2281.0297
2019,2,6041.6399
2019,3,3482.1877
2019,4,2626.1774
2019,5,530.048
2019,6,6.6034
2019,7,24.3965
2019,8,164.2835
2019,9,114.9581
2019,10,49.646
2019,11,1338.4652
2019,12,1973.0554
2020,1,2917.6822
2020,2,3918.7106
2020,3,6095.0312
2020,4,2611.3459
2020,5,157.2166
2020,6,71.5285
2020,7,39.8216
2020,8,0.0
2020,9,0.0
2020,10,2.8527
2020,11,805.5911
2020,12,347.7237
2021,1,1146.0214
2021,2,4150.3059
2021,3,2744.4516
2021,4,88.3793
2021,5,131.8483
2021,6,0.4842
2021,7,0.0
2021,8,237.8355
2021,9,0.0
2021,10,2.6408
2021,11,271.5601
2021,12,145.7257
2022,1,602.5441
2022,2,795.8663
2022,3,631.4474
2022,4,404.6263
2022,5,9.0305
2022,6,0.0
2022,7,0.0
2022,8,82.0092
2022,9,0.0
2022,10,15.561
2022,11,182.573
2022,12,170.1963
2023,1,705.0731
2023,2,6177.4277
2023,3,2103.8716
2023,4,1205.6244
2023,5,239.4543
2023,6,8.3541
2023,7,0.0
2023,8,170.7368
2023,9,20.7105
2023,10,9.1289
2023,11,252.6067
2023,12,175.2247
